DOC,Titre,Chapitre,Section,Article,Contenu,Pages
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 2 :,"La forme, la durée, qui ne peut excéder 99 ans, la dénomination, le siège, l'objet et le montant du capital sont déterminés par les statuts de la société.",[5]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 3 :,La durée de la société court à dater de l'immatriculation de celle-ci au registre du commerce. Elle peut être prorogée une ou plusieurs fois sans que chaque prorogation puisse excéder 99 ans.,[5]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 4 :,"Les actes et documents émanant de la société et destinés aux tiers, notamment, les lettres, factures, annonces et publications diverses doivent indiquer la dénomination sociale, précédée ou suivie immédiatement et lisiblement de la mention "" société anonyme "" ou des initiales "" SA "", de l'énonciation du montant du capital social et du siège social, ainsi que le numéro d'immatriculation au registre du commerce.",[5]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 5 :,"Les sociétés anonymes dont le siège social est situé au Maroc sont soumises à la législation marocaine. Les tiers peuvent se prévaloir du siège statutaire, mais celui-ci ne leur est pas opposable par la société si son siège réel est situé en un autre lieu.",[5]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 6 :,Le capital social d'une société anonyme ne peut être inférieur à trois millions de dirhams si la société fait publiquement appel à l'épargne et à trois cent mille dirhams dans le cas contraire.,[6]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 7 :,"Les sociétés anonymes jouissent de la personnalité morale à dater de leur immatriculation au registre du commerce. La transformation régulière d'une société anonyme en une société d'une autre forme ou le cas inverse, n'entraîne pas la création d'une personne morale nouvelle. Il en est de même de la prorogation.",[6]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 8 :,"Jusqu'à l'immatriculation, les rapports entre les actionnaires sont régis par le contrat de société et par les principes généraux du droit applicable aux obligations et contrats.",[6]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 9 : (abrogé et remplacé par l'article 5 de la loi n° 23-01 promulguée par le dahir n° 1-04-17 du 21 avril 2004 - 1er rabii I 1425 ; B.O. du 6 mai 2004) [modifié et complété par l’article premier de la loi 78-12],Est réputée faire appel public à l'épargne toute société anonyme qui : - fait admettre ses valeurs mobilières à la Bourse des valeurs ou sur tout autre marché réglementé ; - émet ou cède lesdites valeurs dans les conditions prévues par les textes législatifs et réglementaires en vigueur,[6]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 10 :,La publicité prescrite par les lois et règlements ne constitue pas par elle-même un appel public à l'épargne au sens de l'article 9 ci-dessus.,[6]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 11 :,"Les statuts de la société doivent être établis par écrit. S'ils sont établis par acte sous seing privé, il en est dressé autant d'originaux qu'il est nécessaire pour le dépôt d'un exemplaire au siège social et l'exécution des diverses formalités requises. Entre actionnaires, aucun moyen de preuve n'est admis contre le contenu des statuts. Les pactes entre actionnaires doivent être constatés par écrit.",[6]
