Doc,Chapitre,Titre,SousTitre1,SousTitre2,SousTitre3,Article,Contenu,Pages
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,1. CHAMP D’APPLICATION,,,,Article 1 - - Champ d’application,"En application des dispositions législatives et réglementaires en vigueur régissant les opérations de change, la présente Instruction définit les opérations de change qui peuvent être effectuées librement par les résidents et les non-résidents ainsi que les modalités et les conditions de leur réalisation. Toute opération de change non expressément définie ou dont les modalités et les conditions de réalisation ne correspondent pas à celles prévues par les dispositions de la présente Instruction, demeure soumise à l’autorisation de l’Office des Changes.",[14]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,1. CHAMP D’APPLICATION,,,,Article 2 - - Définitions,"Au sens de la présente Instruction, on entend par :  Avoirs à l’étranger : les instruments financiers, les biens immeubles, les liquidités en devises, les avoirs en or et de façon générale, tout bien, droit et intérêt représenté ou non par des titres, détenus en dehors du territoire assujetti.  Banques : établissements de crédit tels que définis par la loi n°103-12, Bank Al Maghrib et les services de la Trésorerie Générale du Royaume.  Change manuel : opération d’achat ou de vente des billets de banque ou des chèques de voyage libellés en monnaie étrangère.  Contrat : document donnant lieu à des droits et obligations entre les parties contractantes.  Correspondant étranger : - Banques ou organismes financiers étrangers procédant à des opérations de banque ; - Succursales et filiales des banques marocaines établies à l’étranger ou dans des places financières offshores ; - Organismes de transfert de fonds établis à l’étranger ; - Fonds d’investissement étrangers.  Devise : toute unité monétaire étrangère.  Etranger : territoire non assujetti à la réglementation des changes.  Franchise : un système de commercialisation de produits, de services ou de technologies, basé sur une collaboration permanente entre des entreprises juridiquement et financièrement distinctes et indépendantes, le franchiseur et ses franchisés.  Opérations de change : - Les mouvements de fonds entre le Maroc et l’étranger ; - Les règlements effectués au Maroc entre résidents et non-résidents ; - Les opérations d’achat et de vente de devises ; - Toute opération qui donne naissance à une dette ou à une créance entre résidents d’une part et non-résidents d’autre part.  Opérations en capital : les opérations portant sur des investissements, des placements, des financements et, de manière générale, sur des acquisitions, constitutions ou cessions d’avoirs ou prise d’engagements, sous quelque forme que ce soit.  Opérations courantes : les opérations portant sur le commerce de biens et de services, les revenus des investissements et des placements, les intérêts des prêts et les économies sur revenus du travail et de façon générale, toutes opérations autres que celles en capital.  Opérateurs de change manuel : les établissements de paiement, tels que définis par la loi n°103-12 et les sociétés de change de devises, autorisés par l’Office des Changes à exercer l’activité de change manuel.  Place financière offshore : toute place ouverte aux activités de banques et des sociétés de gestion de portefeuille et de prise de participations telles que définies par la loi n°58-90 relative aux places financières offshore.  Règlement : toute opération de paiement entre un résident et un non résident.  Résidents : - Les personnes physiques marocaines ou étrangères considérées comme résidents au sens de la législation fiscale en vigueur ; - Les personnes morales marocaines ; - Les établissements, représentations, agences, succursales ou autres dépendances, appartenant à des personnes physiques ou morales étrangères non-résidentes et considérés comme résidents au sens de la législation fiscale et de la réglementation des changes en vigueur.  Non-résidents : - Les personnes physiques considérées comme non-résidents au sens de la législation fiscale en vigueur ; - Les personnes morales étrangères ; - Les établissements, représentations, agences, succursales ou autres dépendances appartenant à des personnes morales marocaines et considérés comme non-résidents au sens de la législation fiscale et de la réglementation des changes en vigueur ; - Les entités installées dans les places financières offshore et dans les zones d’accélération industrielle.  Succursale : toute entité créée par une société étrangère, en vue d'exercer une activité au Maroc et ne disposant pas d'une personnalité juridique distincte de la société mère. Il s’agit soit de succursale imposée sur le plan fiscal comme une société de droit marocain, soit de succursale non imposée comme une société de droit marocain.  Territoire assujetti : le territoire national à l’exclusion des zones d’accélération industrielle ou de tout autre espace assimilé étranger au regard à la réglementation du commerce extérieur et de changes en vigueur.  Zone d’accélération industrielle : tout espace déterminé du territoire douanier où les activités industrielles et de services qui y sont liées, sont soustraites à la législation et à la réglementation douanière et à celles relatives au contrôle du commerce extérieur et des changes et ce, conformément aux dispositions de la loi n° 19-94 relative aux zones d’accélération industrielle telle qu’elle a été modifiée et complétée. 2- PRINCIPES DE BASE","[14, 15, 16, 17]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 3 - - Monnaie des contrats et des règlements,Les contrats conclus entre résidents et non-résidents peuvent être libellés en dirhams ou en devises. Les règlements afférents à ces contrats doivent intervenir en l’une des devises cotées par Bank Al Maghrib.,[17]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 4 - - Délégation aux banques,Les banques sont habilitées à exécuter les règlements au titre des opérations courantes ou en capital prévues par la présente Instruction ou par une autorisation particulière de l’Office des Changes.,[17]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 5 - - Effectivité et prix des transactions,"Les règlements au titre des opérations courantes ou en capital prévues par la présente Instruction, doivent porter sur des transactions effectives rémunérées au prix du marché. Le respect des conditions du prix du marché ainsi que de l’effectivité demeure de la responsabilité de l’opérateur.",[17]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 6 - - Respect des autres législations et réglementations,La réalisation des opérations courantes ou en capital prévues par la présente prévues par ailleurs.,[17]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 7 - - Règlements au profit de non-résidents ou à destination de l’étranger,"Les règlements au profit de non-résidents ou à destination de l’étranger, au titre des opérations courantes ou en capital peuvent être effectués par :  Virement à destination de l’étranger ;  Crédit de comptes en devises ou en dirhams convertibles des étrangers résidents ou non-résidents et des marocains résidant à l’étranger ouverts dans les livres d’une banque ;  Mandats postaux internationaux selon les modalités fixées par le Règlement de l’Union Postale Universelle. D’autres modes de règlement, tels que les billets de banque étrangers et les cartes de paiement internationales peuvent être utilisés dans les conditions définies par la présente Instruction. Pour la réalisation des règlements au titre des opérations courantes ou en capital prévues par la présente Instruction les personnes titulaires de comptes en devises ou en dirhams convertibles, conformément à la réglementation des changes, doivent utiliser en priorité les disponibilités desdits comptes et ce, dans les conditions et modalités prévues par la présente Instruction.","[17, 18]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 8 - - Règlements au profit de résidents ou en provenance de l’étranger,"Les règlements au profit de résidents ou en provenance de l’étranger peuvent être effectués par :  Virement reçu de l’étranger ;  Débit de comptes en devises ou en dirhams convertibles des étrangers résidents ou non-résidents et des marocains résidant à l’étranger ouverts dans les livres d’une banque ;  Mandats postaux internationaux selon les modalités fixées par le Règlement de l’Union Postale Universelle. D’autres modes de règlement, tels que les billets de banque étrangers et les cartes de paiement internationales peuvent être utilisés dans les conditions définies par la présente Instruction.",[18]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 9 - - Opérations non couvertes,"Toute opération de change non expressément définie ou dont les modalités et les conditions de réalisation ne correspondent pas à celles prévues par les dispositions de la présente Instruction, demeure soumise à l’autorisation de l’Office des Changes. Il s’agit notamment des opérations ci-après :  Les engagements rendant débiteur un résident vis-à-vis d’un non-résident;  Les règlements par voie de compensation ;  Les avances de fonds ou facilités financières accordées par un résident à un non-résident;  Le règlement en devises sur le territoire national ;  L’ouverture de comptes libellés en dirhams au nom des étrangers non- résidents;  L’ouverture de compte à l’étranger par les personnes marocaines résidentes, sauf autorisation générale ou particulière ;  La constitution d’avoirs à l’étranger par les personnes marocaines résidentes, sauf autorisation générale ou particulière ;  L’arbitrage des devises reçues à titre de règlement en provenance de l’étranger ou des zones d’accélération industrielle ou places financières offshores installées sur le territoire national ;  Le règlement des intérêts de retard, majorations et pénalités ;  Le règlement au titre des opérations d’intermédiation.","[18, 19]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 10 - - Comptes,"a- Nature des comptes : Les banques sont autorisées à ouvrir dans leurs livres des :  Comptes en dirhams convertibles au nom des correspondants étrangers, conformément aux dispositions de l’article 26 de la présente Instruction ;  Comptes en devises ou en dirhams convertibles au nom des exportateurs de biens et de services, conformément aux dispositions de l’article 66 de la présente  Comptes en devises « négoce international », conformément aux dispositions de l’article 83 de la présente Instruction ;  Comptes « assurance en devises », conformément aux dispositions de l’article 96 de la présente Instruction ;  Comptes en devises au titre de la réassurance en devises, conformément aux dispositions de l’article 101 de la présente Instruction ;  Comptes en devises au nom des courtiers en réassurance, conformément aux dispositions de l’article 102 de la présente Instruction ;  Comptes en devises ou en dirhams convertibles « dotation voyages d’affaires », conformément aux dispositions de l’article 107 de la présente Instruction ;  Comptes en devises au titre d’opérations de couverture contre le risque de fluctuation de prix, conformément aux dispositions de l’article 143 de la présente  Comptes en devises et des comptes en dirhams convertibles au nom des étrangers résidents ou non-résidents, personnes physiques ou morales, des sociétés installées dans les zones d’accélération industrielle ou les places financières offshore sises au Maroc et des marocains résidant à l’étranger, conformément aux dispositions de l’article 157 de la présente Instruction ;  Comptes en devises au titre des opérations de placement à l’étranger des Organismes de Placement Collectif en Capital (OPCC), des Organismes de Placement Collectif en Valeurs Mobilières (OPCVM) et des Organismes de Placement Collectif Immobilier (OPCI), conformément aux dispositions de l’article 179 de la présente  Comptes en devises au titre des opérations de placement à l’étranger des entreprises d’assurances ou de réassurance, conformément aux dispositions de l’article 180 de la présente Instruction ;  Comptes en devises au nom des exportateurs de service soumissionnaires ou titulaires de marchés dans le cadre d’appels d’offres à l’étranger conformément aux dispositions de l’article 78 ;  Comptes convertibles à terme, conformément aux dispositions de l’article 162 de la présente Instruction ;  Comptes « spécial » en dirhams et des comptes « groupement » conformément aux dispositions de l’article 60 de la présente Instruction ;  Comptes « spécial » en dirhams, au nom des personnes physiques étrangères non-résidentes, au titre des crédits en dirhams contractés auprès des banques ;  Comptes « spécial » en dirhams, au nom de sociétés installées dans une zone d’accélération industrielle ou place financière offshore sise au Maroc, destinés à recevoir au crédit : - les remboursements effectués par les organismes de prévoyance sociale établis au Maroc (Caisse Nationale de Sécurité Sociale, Entreprises d’Assurance, Mutuelles et Organismes de retraite) au profit du personnel de ladite société ; - les subventions en dirhams reçues d’organismes publics. Ces comptes peuvent enregistrer au débit toute dépense en dirhams au Maroc et ne doivent donner lieu à aucune opération de transfert.  Comptes provisoires en dirhams conformément aux dispositions de l’article 147 de la présente Instruction ;  Comptes « spécial » en dirhams au nom des représentations diplomatiques étrangères accréditées au Maroc. Ces comptes peuvent enregistrer au crédit : - Les remboursements de la taxe sur la valeur ajoutée au titre des acquisitions de marchandises effectuées localement et ce, au vu d’un document établi par le titulaire du compte attestant que ces remboursements n’ont pas fait l’objet de transfert ou d’inscription au crédit d’un compte en devises ou d’un compte étranger en dirhams convertibles ; - les avances de fonds préalablement rapatriées par la représentation diplomatique titulaire du compte soit par cession de devises soit par débit d’un compte étranger en dirhams convertibles ou en devises ; - les versements effectués par les organismes de prévoyance sociale établis au Maroc (Caisse Nationale de Sécurité Sociale, Mutuelles, Entreprises d’assurance et Organismes de retraite) au titre des frais de soins médicaux, des indemnités d’assurance et des frais d’hospitalisation ; - les remboursements effectués par les compagnies pétrolières au titre des franchises accordées par le Ministère en charge des affaires étrangères ; - les recettes au titre des droits de chancellerie. Ces comptes peuvent enregistrer au débit : - toute dépense en dirhams au Maroc ; - les remboursements des avances de fonds préalablement rapatriées et dûment justifiés par tout document approprié (formules bancaires, avis de crédit, etc.). Ces remboursements peuvent être effectués soit par achat de devises sur le marché des changes, soit par inscription au crédit d’un compte étranger en dirhams convertibles ou en devises, étant précisé que lesdits remboursements ne doivent porter que sur le montant avancé en devises sans, toutefois, dépasser la contre-valeur en dirhams correspondante effectivement inscrite au crédit du compte spécial. Toute autre opération de transfert à partir du compte ""spécial"" ouvert au nom de la représentation diplomatique accréditée au Maroc ne peut intervenir qu’après accord de l’Office des Changes.  Comptes ""spécial"" en dirhams au nom des organisations internationales siégeant ou représentées au Maroc. Ces comptes peuvent enregistrer au crédit : - les droits d’inscription ou d’adhésion à cette organisation ; - les frais de participation aux manifestations organisées au Maroc par ladite organisation ; - les subventions d’organismes publics ; - les dons collectés au Maroc soit par l’organisation concernée soit par l’entremise d’une entité marocaine. Ladite organisation ou entité doit être autorisée par les autorités marocaines à faire appel à la générosité publique ; - les avances de fonds préalablement rapatriées par l’organisation internationale titulaire du compte soit par cession de devises soit par débit d’un compte en dirhams convertibles ou en devises. Ces comptes peuvent enregistrer au débit : - toute dépense en dirhams au Maroc ; - les remboursements des avances de fonds préalablement rapatriées. Ces remboursements peuvent être effectués soit par achat de devises sur le marché des changes soit par inscription au crédit d’un compte en dirhams convertibles ou en devises, étant précisé que lesdits remboursements ne doivent porter que sur le montant avancé en devises sans, toutefois, dépasser la contre-valeur en dirhams correspondante effectivement inscrite au crédit du compte spécial. Toute autre opération de transfert à partir du compte ""spécial"" ouvert au nom d’une organisation internationale siégeant ou représentée au Maroc ne peut intervenir qu’après accord de l’Office des Changes.  Comptes ""spécial"" en dirhams au nom du personnel étranger d’une représentation diplomatique accréditée au Maroc ou relevant d’une organisation internationale siégeant ou représentée au Maroc. Ces comptes peuvent enregistrer au crédit les emprunts en dirhams obtenus auprès des banques marocaines en vertu des dispositions de la présente Instruction ou d’une autorisation particulière de l’Office des Changes et au débit toutes dépenses en dirhams au Maroc. Ces comptes ne doivent donner lieu à aucune opération de transfert.  Comptes en devises ou en dirhams convertibles ouverts au nom des personnes physiques marocaines résidentes, non inscrites au registre de commerce, disposant de revenus de source étrangère. Les revenus de source étrangère s’entendent ceux déclarés à la banque par les personnes physiques susvisées, sous leur responsabilité, en tant que revenus reçus de l’étranger. La déclaration doit se faire par écrit et doit renseigner notamment sur la nature de l’opération ayant généré le revenu de source étrangère. Ces comptes peuvent enregistrer au crédit : - jusqu’à 70% des revenus de sources étrangères rapatriées. Le reliquat doit être cédé sur le marché des changes ; - les revenus et produits de cession des actifs financiers détenus au Maroc sur des marchés réglementés (OPCVM, actions cotées en bourse, titres de créance négociables, bons de trésor, dépôts à terme) et financés par débit de ces comptes, y compris la plus-value éventuelle et ce, sur présentation de tout document justifiant le débit de ces comptes pour l’acquisition desdits actifs ; - le produit de cession de tout investissement réalisé au Maroc par débit de ces comptes et ce, à hauteur du montant initialement débité sur présentation de tout document justifiant le débit de ces comptes pour la réalisation dudit investissement. Ces comptes peuvent enregistrer au débit : - tout règlement à destination de l’étranger, dans le cadre d’opérations courantes à l’exclusion de toute acquisition de biens immeubles, d’actifs financiers ou toute autre constitution d’avoirs à l’étranger sous quelque forme que ce soit et ce, dans le respect des dispositions de l’article 7 de la présente - tout règlement en dirhams au Maroc. b- Conditions de fonctionnement : Les comptes ouverts dans le cadre de la présente Instruction ne doivent pas fonctionner en position débitrice à l’exception des cas prévus expressément dans les articles 26 et 157.  les banques sont autorisées à délivrer : - des chéquiers et/ou des cartes de paiement internationales aux titulaires des comptes en devises ou en dirhams convertibles ouverts au nom des non- résidents, des marocains résidant à l’étranger, des exportateurs de biens et de services et des personnes physiques ou morales résidentes pour les cas expressément prévus par la présente Instruction. Ces chéquiers doivent nécessairement porter, selon le cas, d’une manière apparente et en toutes lettres la mention « compte en devises » ou « compte en dirhams convertibles » - des chéquiers et/ou des cartes de paiement valables uniquement au Maroc aux titulaires des comptes convertibles à terme, des comptes « spécial » et des comptes « groupement ». Ces chéquiers doivent nécessairement porter, selon le cas, d’une manière apparente et en toutes lettres la mention « compte convertible à terme », « compte spécial » ou « compte Groupement ».","[19, 20, 21, 22, 23]"
